Location,Lamp Hrs,Lamp Hours(2),Projector Type,Filter Hrs,Lamp Status,Last Checked,Prev. Inc.,Model: Control | TP,IP: Control | TP  ,FW: Control | TP,AMX IP,Last Checked,Notes
BRB2410,737,N/A,Panasonic PT-VZ575N,144,GOOD,5/17/2019,,XPA 2001,,,,5/18/2018,"System- This skills lab has less system components than most classrooms. There is no touchpanel; a projector remote is used. The remote has a pair of replacement aaa's in BRB2410 
Components: Bogen C-35, VCR | Sources: Desktop Computer | "
BRB2435,92,N/A,Panasonic PT-VZ575N,25,GOOD,5/17/2019,,,,,,5/18/2018,"System- There is less system wise in this lab, the computer is connected directly to the projector and there are no other sources or a connection for a laptop available. 
Components: Bogen C35 | Sources: N/A (Desktop Computer) | "
BRB2440,1090,N/A,Panasonic PT-VZ575N,383,GOOD,5/17/2019,,XPA 2001,,,,5/18/2018,"System- This skills lab has less system components than most classrooms. There is no touchpanel; a projector remote is used. 
Components: XPA2001, VCR, Logitech Orbit Microphone | Sources: Desktop Computer |"
BRB2490,1228,N/A,SmartUX80,515,GOOD,5/17/2019,,,,,,,"System Functionality: 
All system components and their respective show/hide buttons are working 
Audio sounds clear and is loud enough/video quality is good, I was able to view and hear youtube videos on the desktop and laptop sources 
There aren't any wirless mics or batteries in this room 
Cables and cabinet are both secured "
BRB2495,318,N/A,SmartUX80,318,GOOD,8/2/2016,,QM-RMC,192.168.80.171,4.008.0008 (Oct 22 2013),,,
CAS104,502,N/A,Epson 4750W,0,GOOD,8/2/2018,,MPS-100,192.168.80.75,4.003.0015 (Oct 04 2010),,,
CAS106,,,,,GOOD, ,,,,,,,
CAS158,0,,Epson 4300,0,GOOD, ,,MPS-100,192.168.80.62,4.003.0015 (Oct 04 2010),,,
CAS208,2112,N/A,Epson 4300,0,GOOD,6/25/2018,,MPS-100,192.168.80.56,4.003.0015 (Oct 04 2010),,5/18/2018,
CAS210,1352,,Panasonic PT-VZ575,163,GOOD,7/21/2017,,QM-RMC,192.168.80.128,4.008.0008 (Oct 22 2013),,5/18/2018,
CAS212,654,N/A,Panasonic PT-VZ575,285,GOOD,8/4/2017,,QM-RMC,192.168.80.107,4.008.0008 (Oct 22 2013),,5/18/2018,
CAS257,0,N/A,Panasonic PT-VZ575,545,GOOD,8/10/2017,,QM-RMC,192.168.80.217,4.008.0008 (Oct 22 2013),,5/18/2018,
CAS258,,N/A,,145,GOOD,,,QM-RMC,192.168.80.64,4.008.0008 (Oct 22 2013),,5/18/2018,
CAS259,,N/A,,0,GOOD, ,,QM-RMC,192.168.80.29,4.008.0008 (Oct 22 2013),,5/18/2018,
CAS260,,N/A,,0,GOOD, , ,QM-RMC,192.168.80.58,4.008.0008 (Oct 22 2013),,5/18/2018,
FAC1009,841,N/A,Epson G5350,0,GOOD,4/12/2019,INC0094272,DMPS3-4K-150-C,192.168.80.152,1.502.3088.20962,,5/18/2018,"System- 
Components: Crestron TSW-760-TTK-B-S Touchpanel(6507727) and DMPS3-4K-150-C(Inv. #: None)(P/N: 6507090)(S/N: 14551142)(Mfg. Date: JUN-16), Cisco WS-C3560CG-8PC-S V03 Managed Switch(Inv. #: None)(S/N: FOC1725Y2DN), LG DVD/VCR Combo Unit(Model: RC797T)(Inv. #: None)(S/N: 712NHZ1352)(Mfg. Date: DEC 2007), WolfVision VZ-8light Document Camera(Inv. #:None )(S/N: None visible), Logitech HD Webcam, Shure ULXS4 Receive w/out lapel mic | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam, DVD |"
FAC1221,0,1207,NEC NP-PA622U,,,6/26/2017,INC0094278,DMPS3-300-C,192.168.80.196,1.502.3175.21489,,5/18/2018,"System- 
Components: Crestron TSW-750-TTK-B-S Touchpanel(6506065) and DMPS3-300-C(Inv. #: None)(P/N: 6506615)(S/N: 12624595), Cisco WS-C3560-CG-8PC-S Managed Switch(Inv. #: None)(S/N: FOC1729Y4VB), Crown XLC2500 Amp(Inv. #: None)(S/N: 8500967042)(Mfg. Date: 07/07/2014), Elmo TT-12iD Document Camera(Inv. #: None)(S/N: 1320068) | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
FAC1222,500,,NEC NP-PA622U,0,,12/5/2018,INC0094274,DMPS3-4K-100-C,192.168.80.239,1.501.2958.31007 (Feb 06 2017),,5/18/2018,"System- 
Components: Crestron TSW-760-TTK-B-S Touchpanel(6507727), DMPS3-4K-100-C(Inv. #: None)(P/N: 6507978)(SN: 15977809)(Mfg. Date: SEP-16), C2N-IO(Inv. #: None)(P/N: 6505209)(S/N: 17700999), DM-RMC-SCALER-C(Inv. #: None)(P/N: 6505405)(S/N: 13362245), Cisco Catalyst WS-C3560CG-8PC-S Series PoE Managed Switch(Inv. #: None)(S/N: FOC1729Y4V6)(Mfg. Date: 20130720), Elmo TT-12ID Doc Cam(Inv. #: None)(S/N: 1320072), Crown XLC2500 Amp(Inv. #: None)(S/N: 8500967229)(Mfg. Date: 07/07/2014)| Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam, iPod Audio | "
