Location,Classification,Type,OS:,Model #,Service Tag,Warranty Satus,Purchase Date,Mfg. Date,UTT Tag,Computer Name,Notes,Notes2
RBN2009,350,Class,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL6352NYK,,,,Black: 25405 and White: 027317,RBN2009-CONFER,,
RBN2011,110,Class,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C9V,Warranty Expired ,,,Black Only: 23033,CL-RBN2011-HP,,
RBN2022,220,Lab,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C95,Warranty Expired ,,,Black Only: 23031,CL-RBN2022-HP,,
RBN2024,220,Lab,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C9B,Warranty Expired ,8/20/2014,,Black Only: 23011,CL-RBN2024-HP,,
RBN2025,350,Conf,Win10(x64) Version 1803,HP EliteDesk 800G2 SFF,MXL6441J2X,End Date: 11/06/2019,,,Black: 25535 and White: 027064,RBN2025-CONFER,,
RBN3035,110,Class,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL551117F,End Date: 1/12/2019,,,Black: 24584 White: 025234,CL-RBN3035-HP,,
RBN4019,210,Lab,Win10(X64) Version 1803,Dell Optiplex 7020,FC7SD22,,,,White Only: 027034,CL-RBN4019-DELL,,
RBN4027,210,Lab,Win10(X64) Version 1803,Dell Optiplex 7020,977SD22 ,,,,White Only: 027035 ,CL-RBN4027-DELL,,
RBS1027,,,Win10(X64) Version 1803,HP EliteDesk 800G1 SFF,,,,,,,,
RBS1031,110,Class,Win10(X64) Version 1803,HP EliteDesk 800G1 SFF,MXL5511178,End Date: 1/12/2019,,,Black: 24583 White: 025233,CL-RBS1031-HP,,
RBS2015,220,Lab,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C9M,Warranty Expired , ,,Black: 23038 White: 023165,CL-RBS2015-HP,PC locaton confirmed 5/12/15,
RBS2019,110,Class,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C9W,Warranty Expired ,8/20/2014,,Black Only: 23004,CL-RBS2019-HP,,
RBS2024,110,Class,Win10(X64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C9D,Warranty Expired ,,,Black Only: 23040,CL-RBS2024-HP,,
STE127,110,Class,Win10(x64) Version 1803,HP EliteDesk 800G2 SFF,MXL6352NXP,End Date: 9/06/2019,,,Black Only: 25393,CL-STE127-HP,,
BEP250,350,Class,Win10(x64) Version 1803 ,HP EliteDesk 800G3 SFF,MXL8111HBP ,,,,White Only: 028146,BEP250-CONFRNCE,,
BEP256,250,Lab,Win10(x64) Version 1803 ,Dell Opitplex 390,CVZSNS1,Warranty Expired ,,20120430,Black: 19850 White: 019850,CL-BEP256,,
BRB1025,110,Class,Win10(x64) Version 1803 ,HP EliteDesk 800G1 SFF,MXL4340C9N,Warranty Expired ,,,Black: 23041 White: 023168,CL-BRB1025-HP,,
FAC1221,220,BH,Win10(x64) Version 1803 ,HP EliteDesk 800G1 SFF,MXL4340C9D ,Warranty Expired ,,,Black Only: 23040,CL-FAC1221-HP2,Last Reimaged: INC0094277 ,Last Replaced:  INC0116362
RBN2021,220,Lab,Win10(x64) Version 1803 (OS Build 17134.471),HP EliteDesk 800G1 SFF,MXL4340C9T,Warranty Expired ,,,Black Only: 23032,CL-RBN2021-HP,,
RBN2012,110,Class,Win10(x64) Version 1803 (OS Build 17134.48),HP EliteDesk 800G1 SFF,MXL5511176,End Date: 1/12/2019,,,Black Only: 24580,CL-RBN2012-HP,,
BEP139,220,Class,Win10(x64) Version 1803 ,HP EliteDesk 800 G1 SFF,MXL6352NXP,Warranty Expired ,,,Black Only: 25393,CL-BEP139-HP,,
BEP142,110,Lab,Win10(x64) Version 1803 ,Dell Optiplex 390,CW3RNS1,Warranty Expired ,,20120430,Black: 19853 White: 019853,CL-BEP142,,
CAS208,110,Class,Win10(x64) Version 1803 ,HP EliteDesk 800G1 SFF,MXL551117C,End Date: 1/12/2019,5/25/2011,,Black: 24588 White: 025237,CL-CAS208-HP,,
CAS212,110,Class,Win10(x64) Version 1803 ,HP EliteDesk 800G1 SFF,MXL551117B,End Date: 1/12/2019,10/17/2011,,White: 25239,CL-CAS212-HP,,
CAS257,110,Class,Win10(x64) Version 1803 ,HP EliteDesk 800G1 SFF,MXL5511177,End Date: 1/12/2019,5/25/2011,,Black: 24591 White: 025240,CL-CAS257-HP,,
HPC3010,110,Class,Win10(x64) Version 1803 ,HP EliteDesk 800G1 SFF,MXL4340C92,Warranty Expired ,,,Black Only: 23006,CL-HPC3010-HP1,,
ARC114,220,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C8D,Warranty Expired ,,,Black: 23014 White: 023167,CL-ARC114-HP,,
BEP124,220,Lab,Win10(x64) Version 1809,Dell Optiplex 390,CVZPNS1,Warranty Expired ,,2012.04.30,Black: 19846 White: 019846,CL-BEP124,,
